,iyear,imonth,iday,country_txt,city,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nwound,propextent_txt,ransomamt
62,2012,1,6,0,12514,8,9,5528,9707,53,2,9,25,1604,1.0,0.0,1,15860.45
63,2012,1,6,0,10981,2,9,5528,9799,53,2,2,24,1604,4.0,0.0,1,15860.45
64,2012,1,6,76,6107,2,19,7297,10933,87,4,2,13,1219,0.0,0.0,1,15860.45
65,2012,1,7,81,2093,0,13,5547,1948,92,4,4,25,1604,3.0,7.0,1,15860.45
66,2012,1,7,48,7607,2,13,5547,9588,55,4,2,24,1604,2.0,8.0,1,15860.45
67,2012,1,7,86,9608,2,18,4482,1245,100,4,2,23,3607,0.0,0.0,1,15860.45
68,2012,1,7,45,11444,0,12,3880,8205,51,4,2,6,5166,1.0,0.0,1,15860.45
69,2012,1,7,45,11444,0,12,3880,7616,51,4,4,1,5166,1.0,5.0,1,15860.45
70,2012,1,7,45,11444,2,12,3880,7616,51,4,2,6,5166,0.0,1.0,1,15860.45
71,2012,1,6,106,3120,2,12,6869,8133,123,4,2,27,1604,26.0,46.0,1,15860.45
72,2012,1,7,0,3235,0,6,2423,620,0,4,4,25,1604,0.0,0.0,1,15860.45
73,2012,1,8,81,7628,0,9,5479,10957,92,4,4,25,1604,3.0,7.0,2,15860.45
74,2012,1,8,0,6416,2,12,160,1813,0,2,2,22,1604,3.0,1.0,1,15860.45
75,2012,1,8,110,6385,0,6,3075,959,127,4,4,1,4596,1.0,0.0,1,15860.45
76,2012,1,8,110,1443,2,9,6221,7983,127,4,2,13,1611,0.0,1.0,1,15860.45
77,2012,1,8,76,1597,2,9,5415,3858,87,4,2,13,1580,0.0,1.0,1,15860.45
78,2012,1,8,0,9971,0,9,5528,10913,53,2,4,1,4620,2.0,3.0,1,15860.45
79,2012,1,8,0,5576,2,9,5528,10957,53,2,2,24,1604,0.0,0.0,2,15860.45
80,2012,1,8,0,8728,2,9,5528,10957,53,2,2,24,1604,0.0,0.0,2,15860.45
81,2012,1,8,81,5691,2,14,1563,6443,92,4,2,27,1604,0.0,0.0,1,15860.45
82,2012,1,9,81,2093,0,6,6776,7405,92,4,4,25,1604,1.0,0.0,1,15860.45
83,2012,1,9,0,6408,0,9,5528,10124,53,2,4,25,1604,9.0,5.0,2,15860.45
84,2012,1,9,45,4876,1,6,2838,1034,51,4,4,25,1604,0.0,0.0,1,15860.45
85,2012,1,9,81,7628,0,13,5547,1948,92,4,4,25,1604,1.0,0.0,1,15860.45
86,2012,1,9,81,7628,0,13,5547,2402,92,4,4,25,1604,2.0,3.0,1,15860.45
87,2012,1,9,81,7628,0,13,5547,1955,92,4,4,25,1604,1.0,0.0,1,15860.45
88,2012,1,7,97,8390,0,9,183,9799,53,0,2,17,4485,2.0,3.0,1,15860.45
89,2012,1,9,0,8672,8,9,150,10957,0,2,9,25,1604,0.0,6.0,2,15860.45
90,2012,1,9,123,7974,3,20,7297,3954,144,4,8,25,1604,0.0,0.0,2,15860.45
91,2012,1,10,82,5433,2,13,5547,2402,96,4,2,27,1532,35.0,60.0,1,15860.45
92,2012,1,10,81,9821,0,12,5470,7616,92,4,4,25,1604,8.0,0.0,1,15860.45
93,2012,1,10,0,11068,2,12,160,7616,0,2,2,22,4598,10.0,3.0,1,15860.45
94,2012,1,10,45,5218,2,13,3877,1499,51,4,2,6,1604,0.0,7.0,1,15860.45
95,2012,1,10,45,9108,2,2,7297,7823,51,4,2,24,1604,0.0,7.0,2,15860.45
96,2012,1,10,0,9508,2,9,156,4337,0,2,2,24,1604,1.0,0.0,1,15860.45
97,2012,1,10,81,9931,0,13,5547,2402,92,4,4,1,4601,3.0,0.0,1,15860.45
98,2012,1,10,93,1294,4,13,5547,2402,109,4,4,25,1604,0.0,0.0,1,15860.45
99,2012,1,10,0,6416,2,9,5528,10957,53,2,2,24,1604,0.0,0.0,2,15860.45
100,2012,1,11,82,1383,2,9,2201,3056,96,4,2,24,1604,14.0,0.0,1,15860.45
101,2012,1,11,56,4308,6,12,4401,8285,63,0,2,6,4430,6.0,6.0,1,15860.45
102,2012,1,11,82,8913,0,9,2201,3056,96,4,2,17,5010,14.0,0.0,1,15860.45
103,2012,1,10,0,5888,2,12,160,8205,0,2,2,22,1604,1.0,0.0,1,15860.45
104,2012,1,11,123,144,0,6,5913,10957,144,4,4,25,1604,1.0,7.0,1,15860.45
105,2012,1,11,81,9821,0,13,5547,2402,92,4,4,25,1604,4.0,0.0,1,15860.45
106,2012,1,11,122,3359,3,13,5547,1671,143,4,5,5,677,0.0,0.0,1,15860.45
107,2012,1,11,106,5045,2,7,2184,5957,39,4,2,17,3586,9.0,0.0,1,15860.45
108,2012,1,11,118,10408,3,14,7297,10517,137,4,5,12,4464,0.0,1.0,1,15860.45
109,2012,1,12,0,9520,1,6,3188,4936,0,2,2,27,1604,6.0,10.0,1,15860.45
110,2012,1,12,0,10860,0,2,7297,3008,0,2,4,25,1604,0.0,0.0,1,15860.45
111,2012,1,12,0,6980,2,9,150,1097,0,2,2,17,5512,0.0,0.0,1,15860.45
112,2012,1,12,0,1338,2,2,6336,9439,0,2,2,24,1604,2.0,1.0,1,15860.45
113,2012,1,12,97,8390,0,13,5547,2402,114,0,4,25,1604,4.0,3.0,1,15860.45
114,2012,1,13,0,8071,2,13,5547,2402,0,2,2,10,1673,2.0,0.0,1,15860.45
115,2012,1,13,81,13001,0,13,5547,2402,92,4,4,25,1604,2.0,1.0,1,15860.45
116,2012,1,13,81,4499,0,13,5547,2402,92,4,4,25,1604,2.0,1.0,1,15860.45
117,2012,1,13,24,12129,2,12,5357,8205,25,4,2,27,1604,3.0,2.0,1,15860.45
118,2012,1,14,82,3392,2,12,5734,7616,96,4,2,22,5283,8.0,4.0,1,15860.45
119,2012,1,14,0,12258,2,9,5528,10957,53,2,2,24,1604,0.0,0.0,2,15860.45
120,2012,1,15,123,11206,0,9,5102,24,144,4,4,25,1604,2.0,0.0,1,15860.45
121,2012,1,15,110,12096,2,9,7470,10370,127,4,2,18,1064,0.0,3.0,1,15860.45
122,2012,1,15,97,7457,2,4,7297,11648,114,0,2,10,1604,3.0,0.0,1,15860.45
123,2012,1,15,24,10299,2,12,5357,7616,25,4,2,24,1604,1.0,6.0,1,15860.45
124,2012,1,16,76,1573,2,13,5547,2005,87,4,2,23,2006,0.0,0.0,1,15860.45
125,2012,1,16,45,5548,0,9,840,294,51,4,4,1,1604,2.0,2.0,1,15860.45
126,2012,1,16,0,3348,3,9,5528,4745,53,2,9,25,1604,0.0,0.0,1,15860.45
127,2012,1,16,2,3329,6,6,2829,8351,2,4,4,25,1604,0.0,0.0,1,15860.45
128,2012,1,16,81,7628,0,13,5547,2402,92,4,4,25,1604,2.0,0.0,1,15860.45
129,2012,1,16,86,8118,0,2,6816,1074,100,4,4,1,1604,6.0,0.0,1,15860.45
130,2012,1,15,97,1876,2,16,6470,6930,114,4,2,6,1604,1.0,0.0,1,15860.45
131,2012,1,17,33,3902,6,17,5547,10578,85,4,4,25,1604,5.0,0.0,1,15860.45
132,2012,1,17,0,5888,0,6,2675,3765,0,2,4,25,1604,1.0,0.0,1,15860.45
133,2012,1,17,0,4335,2,12,160,1097,0,2,2,27,1604,1.0,3.0,1,15860.45
134,2012,1,17,82,1597,8,16,656,9455,96,4,9,25,1604,2.0,0.0,1,15860.45
135,2012,1,17,81,7628,0,9,5479,676,92,4,4,25,1604,4.0,6.0,1,15860.45
136,2012,1,17,81,8521,0,12,5470,3266,92,4,4,25,1604,1.0,0.0,1,15860.45
137,2012,1,17,81,7628,2,19,7297,10933,92,4,2,24,3865,0.0,0.0,1,15860.45
138,2012,1,17,110,11806,0,12,6225,9511,127,4,4,1,265,2.0,0.0,1,15860.45
139,2012,1,17,81,7628,0,13,5547,2020,92,4,4,25,1604,1.0,0.0,1,15860.45
140,2012,1,17,97,169,6,7,6046,5936,114,0,9,25,1604,0.0,0.0,1,15860.45
141,2012,1,17,81,3122,0,12,5470,7983,92,4,4,25,1604,0.0,0.0,1,15860.45
142,2012,1,17,97,2595,8,9,183,6151,53,0,9,25,1604,4.0,7.0,1,15860.45
143,2012,1,17,82,10954,1,7,7297,6004,96,4,4,25,1604,1.0,0.0,1,15860.45
144,2012,1,18,0,8728,2,6,5312,7608,0,2,2,10,1454,4.0,0.0,1,15860.45
145,2012,1,18,81,7628,8,9,5480,7879,92,4,9,25,1604,2.0,0.0,1,15860.45
146,2012,1,18,0,6043,2,6,5312,7860,0,2,2,24,1604,1.0,0.0,1,15860.45
147,2012,1,18,97,3473,0,9,213,1097,114,0,4,25,1604,3.0,0.0,1,15860.45
